key,en,es,ar
Download Google Authenticator App,Download Google Authenticator App,Descargar la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Submit Ticket,Submit Ticket,Envío,قدم التذكرة
las la-plus me-1,las la-plus me-2,Las la-plus me-2,لاس لا بيروس ME-2
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Transactions,Transactions,Actas,المعاملات
Total Escrow,Total Escrow,Depósito total,إجمالي الضمان
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال
Email,Email,Correo electrónico,بريد إلكتروني
Language switch successfully!,Language switch successfully!,¡Cambio de idioma con éxito!,تبديل اللغة بنجاح!
Escrow Logs,Escrow Logs,Registros de custodia,سجلات الضمان
All Escrow Logs,All Escrow Logs,Todos los registros de depósito,جميع سجلات الضمان
Money Out Logs,Money Out Logs,Money Out Registros,سجلات الأموال
Tags,Tags,Etiquetas,العلامات
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
Payment Required,Payment Required,pago requerido,الدفع المطلوب
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدا
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة
blog.details,blog.details,Blog.details,blog.details
Read More,Read More,Leer más,اقرأ أكثر
Categories,Categories,Categorías,فئات
Recent Posts,Recent Posts,Mensajes recientes,المشاركات الاخيرة
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Message,Message,Mensaje,رسالة
Write Here,Write Here,Escribe aquí,اكتب هنا
Send Message,Send Message,Enviar mensaje,إرسال الرسالة
FAQ,FAQ,Preguntas más frecuentes,التعليمات
Made by,Made by,Hecho por,مصنوع بواسطة
user.dashboard,user.dashboard,usuarios. Dashboard,user.dashboard
user.login,user.login,inicio de sesión de usuario,user.login
Login/Register,Login/Register,Iniciar sesión/registrarse,دخولتسجيل
Selling,Selling,Venta,يبيع
Buying,Buying,Comprar,الشراء
See Our Recent Blog,See Our Recent Blog,Vea nuestro blog reciente,شاهد مدونتنا الحديثة
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع
page.view,page.view,vista de pagina,page.view
terms-and-conditions,terms-and-conditions,Términos y condiciones,الأحكام والشروط
Terms Of Use,Terms Of Use,Condiciones de uso,شروط الاستخدام
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة
Reject Reason,Reject Reason,Rechazar la razón,رفض السبب
Release Request,Release Request,Solicitud de lanzamiento,طلب الإصدار
Release Payment,Release Payment,Liberar el pago,دفع الإفراج
Dispute Payment,Dispute Payment,Pago de disputas,دفع المنازعات
Seller Will Get,Seller Will Get,El vendedor obtendrá,سوف يحصل البائع
Buyer Will Pay,Buyer Will Pay,El comprador pagará,المشتري سيدفع
.sellerGet,.sellerGet,.lanterget,.sellerget
I Will Get,I Will Get,Conseguiré,سأجلب
.buyerPay,.buyerPay,.BuyerPay,.buyerpay
You Will Pay,You Will Pay,Tu vas a pagar,سوف تدفع
Completed,Completed,Terminado,مكتمل
Completed Escrow,Completed Escrow,Cuitrado completado,الضمان المكتمل
Pending Escrow,Pending Escrow,Depósito de depósito,الضمان المعلق
Disputed Escrow,Disputed Escrow,Depósito en depósito,الضمان المتنازع عليه
Transactions Log,Transactions Log,Registro de transacciones,سجل المعاملات
View More,View More,Ver más,عرض المزيد
pagination.previous,pagination.previous,paginación.,ترقيم الصفحات
pagination.next,pagination.next,paginación.next,ترقيم الصفحات
Pagination Navigation,Pagination Navigation,Navegación por paginación,ملاحة ترقيم الصفحات
Showing,Showing,Demostración,تظهر
to,to,a,ل
Money Out Chart,Money Out Chart,Gráfico de dinero fuera,الرسم البياني المال
Add Money Chart,Add Money Chart,Agregar cuadro de dinero,إضافة الرسم البياني المال
Escrow Chart,Escrow Chart,Gráfico de custodia,مخطط الضمان
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
User Active Tickets,User Active Tickets,Tickets activos del usuario,التذاكر النشطة للمستخدم
Total Profit,Total Profit,Beneficio total,اجمالي الربح
Money Out Balance,Money Out Balance,Balance de dinero fuera,المال الرصيد
Add Money Balance,Add Money Balance,Agregar saldo de dinero,أضف رصيد الأموال
of,of,de,ل
Login Section Title*,Login Section Title*,Título de la sección de inicio de sesión*,عنوان قسم تسجيل الدخول*
Login Section Text*,Login Section Text*,Texto de la sección de inicio de sesión*,نص قسم تسجيل الدخول*
Register Section Title*,Register Section Title*,Título de la sección de registro*,عنوان قسم التسجيل*
Register Section Text*,Register Section Text*,Texto de la sección de registro*,سجل قسم القسم*
Forget Section Text*,Forget Section Text*,Olvídese del texto de la sección*,ننسى نص القسم*
Forget Section Title*,Forget Section Title*,Olvídese del título de la sección*,ننسى عنوان القسم*
Left Input Two*,Left Input Two*,Entrada izquierda dos*,المدخلات اليسار اثنين*
Left Input One*,Left Input One*,Entrada izquierda uno*,المدخلات اليسرى واحد*
Left Sub Heading*,Left Sub Heading*,Subcuito izquierdo*,العنوان الفرعي اليسار*
Left Heading*,Left Heading*,Encabezado izquierdo*,اليسار العنوان*
BUTTON NAME,BUTTON NAME,Nombre del botón,اسم الزر
LINK,LINK,ENLACE,وصلة
Right Details*,Right Details*,Detalles correctos*,التفاصيل الصحيحة*
Right Heading*,Right Heading*,Dirección derecha*,العنوان الأيمن*
User Type,User Type,Tipo de usuario,نوع المستخدم
Icon Show,Icon Show,Show de iconos,عرض الأيقونة
Left Button Name*,Left Button Name*,Nombre del botón izquierdo*,اسم الزر الأيسر*
Right Button Name*,Right Button Name*,Nombre del botón derecho*,اسم الزر الأيمن*
Front Image*,Front Image*,Imagen frontal*,الصورة الأمامية*
Right Input Two*,Right Input Two*,Entrada correcta dos*,الإدخال الصحيح اثنين*
Item Image,Item Image,Imagen de elemento,صورة البند
Right Input One*,Right Input One*,Entrada correcta uno*,الإدخال الصحيح واحد*
Sub Heading*,Sub Heading*,Subcuente*,العنوان الفرعي*
Heading*,Heading*,Título*,عنوان*
Left Details*,Left Details*,Detalles de izquierda*,التفاصيل اليسار*
results,results,resultados,نتائج
Go to page :page,Go to page :page,Ir a la página: página,انتقل إلى الصفحة: الصفحة
page,page,página,صفحة
Banned,Banned,Prohibido,محظور
Unverified,Unverified,Inconfirmado,لم يتم التحقق منه
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات
Undefined prope...,Undefined prope...,Propope indefinido ...,Prope غير محدد ...
escroc,escroc,escrroc,دكوس
BASE TABLE,BASE TABLE,Mesa base,الجدول الأساسي
Home,Home,Hogar,بيت
About,About,Acerca de,عن
Services,Services,Servicios,خدمات
Features,Features,Características,سمات
Blog,Blog,Blog,مدونة
Contact,Contact,Contacto,اتصال
Refund Policy,Refund Policy,Politica de reembolso,سياسة الاسترجاع
Terms & Conditions,Terms & Conditions,Términos y condiciones,البنود و الظروف
I'm,I'm,Soy,أنا
for,for,para,ل
Create New Escrow,Create New Escrow,Crea un nuevo depósito,إنشاء ضمان جديد
Get Started,Get Started,Empezar,البدء
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you,How can we help you,Como podemos ayudarte,كيف يمكننا مساعدتك
Get Support,Get Support,Obtener apoyo,احصل على الدعم
2FA Security,2FA Security,2FA SEGURIDAD,2FA الأمن
Escrow Id,Escrow Id,ID de custodia,معرف الضمان
Amount,Amount,Cantidad,كمية
My Wallet,My Wallet,Mi billetera,محفظتى
Submit Escrow,Submit Escrow,Enviar depósito en garantía,إرسال الضمان
Confirm & Send,Confirm & Send,Confirmar y enviar,تأكيد وإرسال
Confirm & Pay,Confirm & Pay,Confirmar y pagar,تأكيد ودفع
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Add Money Log,Add Money Log,Agregar registro de dinero,أضف سجل الأموال
Summery,Summery,Veraniego,صيفي
Money Exchange Log,Money Exchange Log,Registro de intercambio de dinero,سجل تبادل الأموال
Name,Name,Nombre,اسم
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Buyer,Buyer,Comprador,مشتر
Seller,Seller,Vendedor,تاجر
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
Enter Verification Code,Enter Verification Code,Ingrese el código de verificación,أدخل رمز التحقق
Enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة
Enter Confirm Password,Enter Confirm Password,Ingrese Confirmar contraseña,أدخل تأكيد كلمة المرور
App Version,App Version,Version de aplicacion,نسخة التطبيق
please Fill Out The Field,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل
enter,Enter,Ingresar,يدخل
okay,Okay,Bueno,تمام
congratulations,Congratulations,Felicidades,تهانينا
secure System,Secure System,Sistema seguro,نظام آمن
welcome Onboard,Welcome Onboard,La bienvenida a bordo,مرحبا بك على متن الطائرة
welcome Message,"Welcome to Escroc. Thanks for using Escroc, we appreciate it.","Bienvenido a Escroc. Gracias por usar Escroc, lo apreciamos.",مرحبا بكم في الإقرار. شكرا لاستخدام الإقرار ، نحن نقدر ذلك.
face Lock,Face Lock,Mechón,قفل الوجه
finger Lock,Finger Lock,Mechón,قفل الإصبع
password Lock,Password Lock,Bloqueo de contraseña,قفل كلمة المرور
login With Email,Login with Email,Iniciar sesión con el correo electrónico,تسجيل الدخول مع البريد الإلكتروني
fa Verification Sub Title,Enter OTP for added account security verification.,Ingrese OTP para la verificación de seguridad de la cuenta adicional.,أدخل OTP لمزيد من التحقق من أمان الحساب.
fa OTP Code,FA OTP Code,Código FA OTP,رمز FA OTP
login Title,Log in and Stay Connected,Inicie sesión y manténgase conectado,تسجيل الدخول والبقاء على اتصال
login Sub Title,"Our secure login process ensures the confidentiality of your information. Log in today and stay connected to your finances, anytime and anywhere.","Nuestro proceso de inicio de sesión seguro garantiza la confidencialidad de su información. Inicie sesión hoy y manténgase conectado con sus finanzas, en cualquier momento y en cualquier lugar.",تضمن عملية تسجيل الدخول الآمنة لدينا سرية معلوماتك. قم بتسجيل الدخول اليوم والبقاء على اتصال بأموالك ، في أي وقت وفي أي مكان.
forgot Password Sub Title,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer de forma segura su contraseña.,تحكم في حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. توجهك صفحة استرداد كلمة المرور الخاصة بنا من خلال الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
dont Have An Account,Dont Have An Account? Click The Register Button.,¿No tienes una cuenta? Haga clic en el botón Registro.,ليس لديك حساب؟ انقر فوق زر التسجيل.
resend,Resend,Revender,إعادة إرسال
otp Verification Sub Title,We sent a 6-digit code to your email. Please check your mail inbox or spam.,Enviamos un código de 6 dígitos a su correo electrónico. Consulte su bandeja de entrada de correo o spam.,أرسلنا رمز مكون من 6 أرقام إلى بريدك الإلكتروني. يرجى التحقق من صندوق البريد الخاص بك أو البريد العشوائي.
reset Password Sub Title,Now you are able to reset your password. Please reset your password and try again.,Ahora puede restablecer su contraseña. Restablezca su contraseña y vuelva a intentarlo.,أنت الآن قادر على إعادة تعيين كلمة المرور الخاصة بك. يرجى إعادة تعيين كلمة المرور الخاصة بك والمحاولة مرة أخرى.
old Password,Old password,Contraseña anterior,كلمة المرور القديمة
reset Password Confirmation MSG,"Your password has been successfully reset, please try to login again.","Su contraseña se ha restablecido correctamente, intente iniciar sesión nuevamente.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، يرجى محاولة تسجيل الدخول مرة أخرى.
register,Register,Registro,يسجل
register Title,Register for an Account Today,Regístrese para una cuenta hoy,سجل للحصول على حساب اليوم
register Sub Title,"Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs. Our registration page makes it easy to create your account, providing a seamless and user-friendly experience.","Convierta en parte de nuestra comunidad registrándose para una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades. Nuestra página de registro facilita la creación de su cuenta, proporcionando una experiencia perfecta y fácil de usar.",كن جزءًا من مجتمعنا من خلال التسجيل لحساب اليوم. استمتع بمجموعة من الفوائد والميزات المصممة لتلبية احتياجاتك. تجعل صفحة التسجيل الخاصة بنا من السهل إنشاء حسابك ، مما يوفر تجربة سلسة وسهلة الاستخدام.
i Have Agreed,I have agreed with,He estado de acuerdo con,لقد وافقت مع
kyc Form,KYC Form,Forma kyc,شكل KYC
Slug,Slug,Babosa,سبيكة
Exchange Charges,Exchange Charges,Cargos de intercambio,رسوم التبادل
update KYC Form,Update KYC Form,Actualizar el formulario KYC,تحديث نموذج KYC
Add New,Add New,Agregar nuevo,اضف جديد
Escrow Charges,Escrow Charges,Cargos de depósito,رسوم الضمان
kyc Form Title,Identify Verification,Identificar verificación,تحديد التحقق
kyc Form Sub Title,"Please submit your government ID and identify yourself through this form. It is completely safe, we always take care of our users documents.","Envíe su identificación del gobierno e identifica a través de este formulario. Es completamente seguro, siempre cuidamos de los documentos de nuestros usuarios.",يرجى تقديم معرف حكومتك وتحديد نفسك من خلال هذا النموذج. إنها آمنة تمامًا ، فنحن نعتني دائمًا بمستندات المستخدمين.
CRYPTO,CRYPTO,Cripto,تشفير
FIAT,FIAT,FÍAT,فيات
select Country,Select Country,Seleccionar país,حدد الدولة
id Type,ID Type,tipo de identificación,نوع الهوية
select ID Type,Select ID Type,Seleccionar tipo de identificación,حدد نوع المعرف
front Part,Front Part,Parte delantera,الجزء الامامي
back Part,Back Part,Parte de atrás,الجزء الخلفي
upload,Upload,Subir,رفع
kyc Form Confirmation MSG,"Your document has been submit successfully, Please wait for admin approval.","Su documento ha sido enviado correctamente, espere la aprobación del administrador.",تم إرسال المستند الخاص بك بنجاح ، يرجى انتظار موافقة المسؤول.
current Balance,Current Balance,Saldo actual,الرصيد الحالي
notifications,Notifications,Notificaciones,إشعارات
profile Info,Profile Information,información del perfil,معلومات الملف الشخصي
escrow Log,Escrow Log,Registro de custodia,سجل الضمان
available Wallet,Available Wallet,Billetera disponible,محفظة متوفرة
accepted,Accepted,Aceptado,قبلت
pending,Pending,Pendiente,قيد الانتظار
verified,Verified,Verificado,تم التحقق
disputed,Disputed,Cuestionado,متنازع عليها
add New Escrow,Add New Escrow,Agregar nuevo depósito,إضافة ضمان جديد
enter Title,Enter Title,Ingrese el título,أدخل العنوان
category,Category,Categoría,فئة
log Out Content,Are you sure you want to log out?,¿Estás seguro de que quieres cerrar sesión?,هل أنت متأكد أنك تريد تسجيل الخروج؟
delete Account Content,Are you sure you want to delete account?,¿Estás seguro de que quieres eliminar la cuenta?,هل أنت متأكد أنك تريد حذف الحساب؟
select Category,Select Category,selecciona una categoría,اختر الفئة
select My Role,Select My Role,Seleccione mi papel,حدد دوري
who Will Pay The Fees,Who will pay the fees,Quien pagará las tarifas,من سيدفع الرسوم
select Who Will Pay The Fees,Select who will pay the fees,Seleccione quién pagará las tarifas,حدد من سيدفع الرسوم
user Name Or Email,Username/Email,Nombre de usuario/correo electrónico,اسم المستخدم/البريد الإلكتروني
select Payment Method,Select Payment Method,Seleccionar método de pago,اختار طريقة الدفع
will Pay,Will Pay,Pagará,ستدفع
preview,Preview,Avance,معاينة
Escrow Request,Escrow Request,Solicitud de custodia,طلب الضمان
total Amount,Total Amount,Cantidad total,المبلغ الإجمالي
fees Charge,Fees & Charge,Tarifas y cargo,الرسوم والشحن
fees,Fees,Honorarios,مصاريف
Last Reply,Last Reply,Última respuesta,الرد الأخير
limit,Limit,Límite,حد
limit MSG,Follow The Limit,Seguir el límite,اتبع الحد
you Will Get,You Will Get,Conseguirás,ستحصل
buyer Pay,Buyer Pay,Pago del comprador,دفع المشتري
confirm Pay,Confirm & Pay,Confirmar y pagar,تأكيد ودفع
add New Escrow Confirmation MSG,"Your escrow request has been submit successfully, Please wait for admin approval.","Su solicitud de depósito en garantía se ha enviado correctamente, espere la aprobación del administrador.",تم إرسال طلب الضمان الخاص بك بنجاح ، يرجى انتظار موافقة المسؤول.
add Money Confirmation MSG,"Your money has been added successfully, Thanks for using Escroc.","Su dinero se ha agregado con éxito, gracias por usar Escroc.",تمت إضافة أموالك بنجاح ، شكرًا على استخدام الإقرار.
money Out Submit,Money Out Submit,Money Out Enviar,المال الخوض
money Out Confirmation MSG,"Your money has been out successfully, Thanks for using Escroc.","Su dinero ha salido con éxito, gracias por usar Escroc.",لقد خرجت أموالك بنجاح ، شكرًا لاستخدام الإقرار.
exchange,Exchange,Intercambio,تبادل
exchange Details,Exchange Details,Detalles de intercambio,تفاصيل التبادل
exchange Currency,Exchange Currency,Cambio de divisas,عملة التبادل
exchange Amount,Exchange Amount,Monto de intercambio,مبلغ التبادل
exchange Confirmation MSG,"Your money has been exchange successfully, Thanks for using Escroc.","Su dinero ha sido intercambiado con éxito, gracias por usar Escroc.",تم تبادل أموالك بنجاح ، شكرًا على استخدام الإقرار.
recent Transactions,Recent Transactions,Transacciones Recientes,التحويلات الاخيرة
update Profile,Update Profile,Actualización del perfil,تحديث الملف
fa Security,2FA Security,2FA SEGURIDAD,2FA الأمن
fa Verify,2FA Verify,2fa Verificar,2FA التحقق
delete Account,Delete Account,Borrar cuenta,حذف الحساب
add New Password,Add New Password,Agregar nueva contraseña,أضف كلمة مرور جديدة
change Password Confirmation MSG,"Your password has been successfully Changed, please try to login again.","Su contraseña ha cambiado correctamente, intente iniciar sesión nuevamente.",تم تغيير كلمة المرور الخاصة بك بنجاح ، يرجى محاولة تسجيل الدخول مرة أخرى.
address,Address,DIRECCIÓN,عنوان
zip,Zip Code,Código postal,الرمز البريدي
enable Two Fa,Enable 2FA Security,Habilitar la seguridad de 2FA,تمكين 2FA الأمن
disable Two Fa,Disable 2FA Security,Deshabilitar la seguridad de 2FA,تعطيل الأمن 2FA
fa Enable Alert,Do You Want to Enable 2FA Security?,¿Quieres habilitar la seguridad de 2FA?,هل تريد تمكين 2FA Security؟
fa Disable Alert,Do You Want to Disable 2FA Security?,¿Quieres deshabilitar la seguridad de 2FA?,هل تريد تعطيل 2FA Security؟
fa Security Sub Title,We'll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security,Pediremos un código de verificación a través de su método de seguridad si notamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad de 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل الدخول من جهاز أو متصفح غير معترف به. تمكين أمان 2FA الخاص بك
kyc Note,"Allowed documents: jpg, png - 5MB maximum file size.","Documentos permitidos: JPG, PNG - Tamaño de archivo máximo de 5 MB.",المستندات المسموح بها: JPG ، PNG - 5 ميجابايت الحد الأقصى لحجم الملف.
about Us,About Us,Sobre nosotros,معلومات عنا
dispute,Dispute,Disputar,ينازع
request Payment,Request Payment,Solicitar pago,طلب دفع
enter Amount,Enter Amount,Ingresar la cantidad,أدخل المبلغ
enter Pin,Insufficient Pin Code Field,Campo de código PIN insuficiente,حقل رمز دبوس غير كاف
from,From,De,من
dismiss,Dismiss,Despedir,رفض
alert,Alert,Alerta,يُحذًِر
success Snack,Success,Éxito,نجاح
trx ID,TRX-ID,TRX-ID,trx-id
transaction Type,Transaction Type,tipo de transacción,نوع المعاملة
gateway Currency,Gateway Currency,Moneda de puerta de enlace,عملة البوابة
empty MSG,No Data Found,Datos no encontrados,لاتوجد بيانات
ongoing,Ongoing,En curso,جاري التنفيذ
payment Pending,Payment Pending,Pago pendiente,انتظار الدفع
approval Pending,Approval Pending,Aprobación pendiente,في انتظار الموافقة
released,Released,Liberado,مطلق سراحه
Interface Panel,Interface Panel,Panel de interfaz,لوحة واجهة
active Dispute,Active Disputed,Activo disputado,نشط المتنازع عليها
refunded,Refunded,Reintegrado,رد
pdf Viewer,Pdf Viewer,Visor pdf,عارض PDF
valid User,Valid User,Usuario válido,مستخدم صالح
invalid User,Invalid User,Usuario invalido,مستخدم غير صالح
exchange MSG,Cant exchange in same currency.,No puedo cambiar en la misma moneda.,غير قادر على التبادل في نفس العملة.
forgot Password,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
forgot Password Ask,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم
Enter Username or Email,Enter Username or Email,Ingrese el nombre de usuario o el correo electrónico,أدخل اسم المستخدم أو البريد الإلكتروني
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
Login Successfull,Login Successfull,Iniciar sesión exitoso,تسجيل الدخول الناجح
The credentials does not match,The credentials does not match,Las credenciales no coinciden,لا تتطابق بيانات الاعتماد
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك
Hold,Hold,Sostener,يمسك
success,Success,Éxito,نجاح
Please check email and verify your account,Please check email and verify your account,Consulte el correo electrónico y verifique su cuenta,يرجى التحقق من البريد الإلكتروني والتحقق من حسابك
Something went worng! Please try again,Something went worng! Please try again,¡Algo se fue! Inténtalo de nuevo,ذهب شيء يرتديه! حاول مرة اخرى
Registration successful,Registration successful,Registro exitoso,التسجيل ناجح
Email varification code resend successfully,Email varification code resend successfully,El código de varificación de correo electrónico reenvía correctamente,إعادة الالتفاف على رمز تباين البريد الإلكتروني بنجاح
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق لا يتطابق
Email successfully verified,Email successfully verified,Correo electrónico verificado con éxito,تم التحقق من البريد الإلكتروني بنجاح
KYC information successfully submitted,KYC information successfully submitted,La información de KYC presentó con éxito,تم تقديم معلومات KYC بنجاح
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su llave secreta no se almacena correctamente. Póngase en contacto con el administrador del sistema,مفتاحك السري لم يتم تخزينه بشكل صحيح. يرجى الاتصال بمسؤول النظام
Two factor verified successfully!,Two factor verified successfully!,¡Dos factores verificados con éxito!,تم التحقق من عاملان بنجاح!
Failed to login. Please try again,Failed to login. Please try again,Error al iniciar sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى
Logout Successful,Logout Successful,INCOMPTIR SEXITO,سجل النجاح
User doesn,User doesn,El usuario no,المستخدم لا
Verification otp code sended to your email,Verification otp code sended to your email,Verificación del código OTP enviado a su correo electrónico,تم إرسال رمز التحقق من OTP إلى بريدك الإلكتروني
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى
OTP verification successful,OTP verification successful,Verificación OTP exitosa,التحقق من OTP ناجح
Oops password does not match,Oops password does not match,OOPS La contraseña no coincide,عفوًا لا تتطابق كلمة المرور
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Inténtalo de nuevo,طلب غير صالح. حاول مرة اخرى
Password reset success. Please login with new password,Password reset success. Please login with new password,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة
Add Money Information,Add Money Information,Agregar información sobre dinero,أضف معلومات المال
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregar dinero insertado con éxito,أضف أموالًا تم إدخالها بنجاح
Transaction Failed. Record didn\,Transaction Failed. Record didn\,Transacción fallida. Récord no \ no \,فشل الاجراء. سجل لم \
Request user doesn\,Request user doesn\,Solicitar el usuario no \,طلب المستخدم لا \
Transaction faild. Record didn\,Transaction faild. Record didn\,Transacción fallida. Récord no \ no \,فشل المعاملة. سجل لم \
"Payment successful, Please Go Back Your App","Payment successful, Please Go Back Your App","Pago exitoso, vuelva a su aplicación",الدفع ناجحًا ، يرجى العودة إلى تطبيقك
Added Money Canceled,Added Money Canceled,Dinero agregado cancelado,تم إلغاء الأموال المضافة
Data fetched successfully,Data fetched successfully,Datos obtenidos con éxito,تم جلب البيانات بنجاح
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Los datos del idioma obtienen con éxito!,جلب بيانات اللغة بنجاح!
Dashboard data successfully fetch!,Dashboard data successfully fetch!,¡Los datos del tablero obtienen con éxito!,بيانات لوحة القيادة بنجاح!
Notifications data successfully fetch!,Notifications data successfully fetch!,¡Los datos de notificaciones obtienen con éxito!,بيانات الإخطارات بنجاح!
Escrow approval pending information,Escrow approval pending information,Aprobación de custodia información pendiente,موافقة الضمان المعلقة
"Escrow Payment Successful, Please Go Back Your App","Escrow Payment Successful, Please Go Back Your App","Pago de custodia exitoso, vuelva a su aplicación",دفع الضمان ناجح ، يرجى العودة إلى تطبيقك
Escrow Payment Canceled,Escrow Payment Canceled,Pago de custodia cancelado,تم إلغاء دفع الضمان
Escrow Conversation Information,Escrow Conversation Information,Información de conversación de custodia,معلومات محادثة الضمان
Message Sending faild! Please try again,Message Sending faild! Please try again,¡Mensaje enviando fallas! Inténtalo de nuevo,رسالة إرسال فشل! حاول مرة اخرى
Escrow Message Send Successfully,Escrow Message Send Successfully,Mensaje de custodia Enviar correctamente,إرسال رسالة الضمان بنجاح
Something went wrong,Something went wrong,Algo salió mal,هناك خطأ ما
You have request to dispute this escrow successfully,You have request to dispute this escrow successfully,Tiene solicitud para disputar este depósito con éxito,لديك طلب للاعتراض هذا الضمان بنجاح
You have successfully released the payment,You have successfully released the payment,Has lanzado con éxito el pago,لقد أصدرت الدفع بنجاح
Email send successfully!,Email send successfully!,¡Envíe el correo electrónico con éxito!,إرسال البريد الإلكتروني بنجاح!
Escrow Create Failed,Escrow Create Failed,CUPRÓN CREA CREATE FALLO,فشل إنشاء الضمان
Escrow Create Cancel,Escrow Create Cancel,CUPROW CREATE CANCELAR,الضمان إنشاء إلغاء
Escrow Information,Escrow Information,Información de depósito,معلومات الضمان
Escrow Create Data,Escrow Create Data,CUPIRO Crear datos,الضمان إنشاء البيانات
User not found,User not found,Usuario no encontrado,لم يتم العثور على المستخدم
Insuficiant Balance,Insuficiant Balance,Equilibrio insuficiente,توازن غير مكيف
Please follow the escrow limit,Please follow the escrow limit,Siga el límite de depósito,يرجى اتباع حد الضمان
Insuficiant Balance.Here escrow charge will be substack with your wallet. Your escrow charge is,Insuficiant Balance.Here escrow charge will be substack with your wallet. Your escrow charge is,Balance insuficiente. El cargo de depósito en garantía será unusitivo con su billetera. Su carga de depósito en garantía es,توازن insuficiant. هنا سوف تكون رسوم الضمان بديلة مع محفظتك. رسوم الضمان الخاصة بك
Opps! Failed to upload attachment. Please try again,Opps! Failed to upload attachment. Please try again,¡Opps! No se pudo cargar el archivo adjunto. Inténtalo de nuevo,أوس! فشل في تحميل المرفق. حاول مرة اخرى
Escrow Inserted Successfully,Escrow Inserted Successfully,Depósito de custodia insertada con éxito,تم إدخال الضمان بنجاح
